field_1,Date,Latitude,Longitude,water_temp
3450,3/1/1993,40.21418,-77.16883,12.33
3451,3/1/1993,40.21847,-77.16003,12.33
3452,3/1/1993,40.22429,-77.14928,12.33
3464,3/3/2018,40.231014,-77.218649,7.6
3465,3/3/2018,40.224638,-77.260294,5.4
3467,3/3/2018,40.234075,-77.218027,6.4
3471,3/3/2018,40.235785,-77.14107,6.1
3473,3/3/2018,40.195294,-77.184267,9.3
3476,3/3/2018,40.236495,-77.193667,5.8
3477,3/3/2018,40.221555,-77.269701,5.6
3485,3/3/2019,40.224638,-77.260294,3.6
3491,3/3/2019,40.234075,-77.218027,6
3494,3/3/2019,40.195294,-77.184267,9.2
3495,3/3/2019,40.231014,-77.218649,4.7
3499,3/3/2019,40.235785,-77.14107,4.1
3500,3/3/2019,40.236495,-77.193667,4.1
3506,3/5/2018,40.17999,-77.18692,10.4
3507,3/5/2018,40.17667,-77.18507,10.8
3508,3/5/2018,40.17663,-77.18537,10.2
3509,3/5/2018,40.19528,-77.18423,10.4
3510,3/5/2018,40.20792,-77.18104,11.4
3511,3/5/2018,40.22429,-77.14928,9.3
3512,3/5/2018,40.23487,-77.14193,10.5
3514,3/6/2019,40.17999,-77.18692,8.6
3515,3/6/2019,40.17667,-77.18507,9.7
3516,3/6/2019,40.17663,-77.18537,9.6
3517,3/6/2019,40.19528,-77.18423,9.6
3518,3/6/2019,40.20792,-77.18104,9.5
3519,3/6/2019,40.22429,-77.14928,8.9
3520,3/6/2019,40.23487,-77.14193,8.8
3521,3/7/2007,40.17663,-77.18537,13.5
3522,3/7/2007,40.23487,-77.14193,13.1
3523,3/7/2007,40.17667,-77.18507,13.9
3524,3/7/2007,40.17999,-77.18692,13.6
3525,3/7/2007,40.18844,-77.18606,15
3526,3/7/2007,40.19528,-77.18423,15.6
3527,3/7/2007,40.20792,-77.18104,14.2
3528,3/7/2007,40.21418,-77.16883,12.9
3529,3/7/2007,40.21847,-77.16003,13.2
3530,3/7/2007,40.22429,-77.14928,13.1
3531,3/7/2007,40.19568,-77.18767,15.1
3532,3/7/2007,40.19608,-77.18518,17
3533,3/7/2007,40.19588,-77.18745,19.5
3534,3/8/1997,40.17663,-77.18537,12.5
3535,3/8/1997,40.23487,-77.14193,11.5
