"","Date","Latitude","Longitude","water_temp"
"282",2019-07-17,38.86535,-77.0102,29
"283",2019-07-17,38.9098,-76.9618,24
"284",2019-07-17,38.91583,-77.08306,22.5
"285",2019-07-17,38.9116,-76.9546,29
"286",2019-07-17,38.97634,-77.0522,22.5
"287",2019-07-17,38.8799,-76.9709,30
"288",2019-07-17,38.9089,-77.0507,25
"289",2019-07-17,38.93337,-77.05024,25
"290",2019-07-17,38.93831,-77.05258,23.5
"291",2019-07-17,38.8939,-76.9655,30
"292",2019-07-17,38.87278,-77.0006,28
"293",2019-07-17,38.87637,-77.04671,30
"294",2019-07-17,38.92176,-77.06027,20
"295",2019-07-17,38.77654,-77.04784,29.5
"296",2019-07-17,38.95748,-77.06218,24.5
"297",2019-07-17,38.88495,-77.0355,30
"298",2019-07-17,38.90431,-77.07193,29
"299",2019-07-17,38.90008,-77.05842,30
"300",2019-07-24,38.9187,-77.1031,16
"301",2019-07-24,38.92586,-77.0951,18
"302",2019-07-24,38.95748,-77.06218,20.5
"303",2019-07-24,38.9466,-77.05575,20
"304",2019-07-24,38.86535,-77.0102,29.5
"305",2019-07-24,38.9098,-76.9618,22
"306",2019-07-24,38.9116,-76.9546,24.5
"307",2019-07-24,38.77654,-77.04784,24.5
"308",2019-07-24,38.77654,-77.04784,25
"309",2019-07-24,38.97634,-77.0522,19.8
"310",2019-07-24,38.8799,-76.9709,27
"311",2019-07-24,38.87278,-77.0006,29
"312",2019-07-24,38.9089,-77.0507,22
"313",2019-07-24,38.9832,-77.0407,22
"314",2019-07-24,38.8939,-76.9655,26
"315",2019-07-24,38.8774,-77.0246,29
"316",2019-07-24,38.93831,-77.05258,20
"317",2019-07-24,38.93337,-77.05024,23
"318",2019-07-24,38.92176,-77.06027,19
"319",2019-07-24,38.87637,-77.04671,26
"320",2019-07-24,38.88495,-77.0355,28.5
"321",2019-07-24,38.90431,-77.07193,27
"322",2019-07-24,38.90008,-77.05842,27
"323",2019-07-24,38.91583,-77.08306,22
"324",2019-07-31,38.90008,-77.05842,29
"325",2019-07-31,38.9832,-77.0407,24.5
"326",2019-07-31,38.90431,-77.07193,28
"327",2019-07-31,38.9466,-77.05575,22
"328",2019-07-31,38.87278,-77.0006,28
"329",2019-07-31,38.9187,-77.1031,29
"330",2019-07-31,38.9098,-76.9618,23.5
"331",2019-07-31,38.9116,-76.9546,28
"332",2019-07-31,38.92586,-77.0951,19.5
"333",2019-07-31,38.8799,-76.9709,28
"334",2019-07-31,38.95748,-77.06218,22.5
"335",2019-07-31,38.86535,-77.0102,28
"336",2019-07-31,38.8774,-77.0246,30
"337",2019-07-31,38.91583,-77.08306,21
"338",2019-07-31,38.93831,-77.05258,21.5
"339",2019-07-31,38.97634,-77.0522,22
"340",2019-07-31,38.9089,-77.0507,24
"341",2019-07-31,38.8939,-76.9655,29
"342",2019-07-31,38.87637,-77.04671,29
"343",2019-07-31,38.77654,-77.04784,29
"344",2019-07-31,38.93337,-77.05024,25
"345",2019-07-31,38.92176,-77.06027,20
"346",2019-07-31,38.88495,-77.0355,29
"347",2019-08-07,38.9832,-77.0407,21
"348",2019-08-07,38.93337,-77.05024,23
"349",2019-08-07,38.8939,-76.9655,26
"350",2019-08-07,38.86535,-77.0102,28
